"kingdom";"phylum";"class";"order";"family";"genus";"species";"speciesStatus";"allBarcodes";"ariseBarcodes";"otherBarcodes";"speciesOccurrenceStatus";"collected";"speciesLocality"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Janolidae";"Janolus";"Janolus hyalinus";"Unwanted";"8";"5";"3";"1b";"1";"Netherlands; Norway; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Janolidae";"Antiopella";"Antiopella cristata";"Unwanted";"29";"17";"12";"1a";"9";"Netherlands; Norway; Spain; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Tritoniidae";"Candiella";"Candiella plebeia";"Unwanted";"38";"13";"25";"1a";"0";"Atlantic Ocean; Norway; Sweden; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Tritoniidae";"Tritonia";"Tritonia hombergii";"Unwanted";"35";"8";"27";"1b";"4";"Atlantic Ocean; France; Netherlands; Norway; Sweden; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dendronotidae";"Dendronotus";"Dendronotus frondosus";"Unwanted";"122";"18";"104";"1a";"13";"Atlantic Ocean; Canada; Netherlands; North Pacific Ocean; Norway; Svalbard and Jan Mayen; Sweden; United Kingdom; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dendronotidae";"Dendronotus";"Dendronotus europaeus";"Unwanted";"17";"2";"15";"1a";"1";"Netherlands; Norway"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Cadlinidae";"Cadlina";"Cadlina laevis";"Unwanted";"60";"3";"57";"1b";"1";"Canada; North Atlantic Ocean; Norway; Russia; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Discodorididae";"Jorunna";"Jorunna tomentosa";"Unwanted";"41";"3";"38";"1b";"0";"Croatia; Norway; Spain; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Discodorididae";"Geitodoris";"Geitodoris planata";"Unwanted";"21";"3";"18";"1b";"4";"Netherlands; Norway; Spain; Sweden; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Acanthodorididae";"Acanthodoris";"Acanthodoris pilosa";"Unwanted";"76";"17";"59";"1a";"6";"Atlantic Ocean; Canada; Ireland; Netherlands; North Atlantic Ocean; Norway; Svalbard and Jan Mayen; Sweden; United Kingdom; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Onchidorididae";"Onchidoris";"Onchidoris muricata";"Unwanted";"181";"1";"180";"1b";"5";"Atlantic Ocean; Canada; Japan; Norway; Russia; Sweden; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Onchidorididae";"Onchidoris";"Onchidoris bilamellata";"Unwanted";"39";"5";"34";"1a";"12";"Canada; Ireland; Netherlands; North Pacific Ocean; Norway; Sweden; United Kingdom; United State of America; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Goniodorididae";"Ancula";"Ancula gibbosa";"Wanted";"13";"0";"13";"1b";"0";"Japan; Norway; United Kingdom; United State of America"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Goniodorididae";"Okenia";"Okenia nodosa";"Unwanted";"35";"6";"29";"1b";"0";"Atlantic Ocean; Ireland; Netherlands; Norway; Spain; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Gyraulus";"Gyraulus acronicus";"Wanted";"7";"0";"7";"4";"0";"Czechia; Norway; Russia"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Gyraulus";"Gyraulus rossmaessleri";"Wanted";"4";"0";"4";"4";"0";"Czechia; Poland"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Armiger";"Armiger crista";"Unwanted";"11";"5";"6";"1a";"0";"Canada; Czechia; France; Germany; Netherlands; Unknown"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Gyraulus";"Gyraulus chinensis";"Wanted";"25";"0";"25";"2c";"0";"Albania; Brazil; Czechia; Italy; Japan; South Africa; Spain; Taiwan"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Gyraulus";"Gyraulus albus";"Unwanted";"13";"2";"11";"1a";"0";"Austria; Belgium; Czechia; Germany; Netherlands; Serbia; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Hygrophila";"Planorbidae";"Gyraulus";"Gyraulus laevis";"Unwanted";"5";"5";"0";"1a";"2";"Netherlands"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Gyraulus";"Gyraulus riparius";"Wanted";"4";"0";"4";"1a";"0";"Belarus; Estonia; Poland"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Gyraulus";"Gyraulus parvus";"Unwanted";"83";"9";"74";"1a";"5";"Austria; Canada; Croatia; Czechia; Netherlands; Romania; Serbia; Slovakia; United Kingdom; United State of America"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Segmentina";"Segmentina nitida";"Unwanted";"11";"5";"6";"1a";"1";"Denmark; Germany; Netherlands; Unknown"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Planorbis";"Planorbis planorbis";"Unwanted";"25";"7";"18";"1a";"0";"Austria; Czechia; Denmark; France; Germany; Hungary; Iran; Netherlands; Slovakia; Unknown; Unrecoverable; Unspecified country"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Planorbis";"Planorbis carinatus";"Unwanted";"5";"3";"2";"1a";"1";"Netherlands; Norway; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Planorbarius";"Planorbarius corneus";"Unwanted";"24";"5";"19";"1a";"0";"Belgium; Germany; Netherlands; Romania; Slovakia; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Menetus";"Menetus dilatatus";"Wanted";"12";"0";"12";"2c";"0";"Canada; Japan; Mexico; Portugal; United State of America"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Hippeutis";"Hippeutis complanatus";"Unwanted";"11";"4";"7";"1a";"0";"Germany; Netherlands; Russia"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Pettancylus";"Pettancylus clessinianus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Bathyomphalus";"Bathyomphalus contortus";"Unwanted";"14";"6";"8";"1a";"1";"Germany; Netherlands; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Anisus";"Anisus vortex";"Unwanted";"12";"5";"7";"1a";"0";"Denmark; Finland; France; Netherlands; Slovakia; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Anisus";"Anisus spirorbis";"Wanted";"2";"0";"2";"1a";"0";"Germany"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Anisus";"Anisus leucostoma";"Unwanted";"13";"8";"5";"1a";"0";"Denmark; Germany; Netherlands; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Anisus";"Anisus vorticulus";"Unwanted";"3";"3";"0";"1a";"0";"Netherlands"
"Animalia";"Mollusca";"Gastropoda";"";"Planorbidae";"Ancylus";"Ancylus fluviatilis";"Unwanted";"39";"2";"37";"1a";"0";"France; Germany; Malta; Morocco; Netherlands; Romania; Spain; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Peregriana";"Peregriana peregra";"Wanted";"8";"0";"8";"0";"0";"Germany; Norway; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Radix";"Radix auricularia";"Unwanted";"135";"3";"132";"1a";"0";"Albania; Armenia; Canada; China; Croatia; Germany; Greece; Iran; Kyrgyzstan; Montenegro; Netherlands; North Macedonia; Russia; Slovakia; United State of America"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Stagnicola";"Stagnicola palustris";"Unwanted";"44";"5";"39";"1a";"1";"Finland; Germany; Iran; Netherlands; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Stagnicola";"Stagnicola fuscus";"Unwanted";"13";"1";"12";"1a";"0";"Belgium; Germany; Netherlands; Spain"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Stagnicola";"Stagnicola corvus";"Wanted";"10";"0";"10";"1a";"0";"Germany"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Stagnicola";"Stagnicola turricula";"Wanted";"5";"0";"5";"4";"0";"Germany"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Lymnaea";"Lymnaea stagnalis";"Unwanted";"157";"4";"153";"1a";"1";"Belgium; Canada; China; Finland; Germany; Greece; Montenegro; Netherlands; Slovakia; Spain; United Kingdom; United State of America; Unknown; Unspecified country"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Galba";"Galba truncatula";"Unwanted";"99";"4";"95";"1a";"1";"Albania; Argentina; Azerbaijan; Chile; France; Germany; Greece; Iran; Kazakhstan; Malta; Montenegro; Morocco; Nepal; Netherlands; Peru; Russia; Slovakia; Slovenia; Spain; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Omphiscola";"Omphiscola glabra";"Unwanted";"10";"2";"8";"1a";"0";"Denmark; Germany; Netherlands"
"Animalia";"Mollusca";"Gastropoda";"";"Lymnaeidae";"Myxas";"Myxas glutinosa";"Unwanted";"5";"2";"3";"1a";"0";"Finland; Ireland; Netherlands"
"Animalia";"Mollusca";"Gastropoda";"";"Physidae";"Physella";"Physella heterostropha";"Wanted";"3";"0";"3";"2c";"0";"Canada; Germany; United State of America"
"Animalia";"Mollusca";"Gastropoda";"";"Physidae";"Physella";"Physella acuta";"Unwanted";"459";"12";"447";"2a";"3";"Angola; Australia; Austria; Canada; China; Colombia; Cuba; France; Greece; India; Indonesia; Iran; Iraq; Japan; Kenya; Malaysia; Malta; Mauritius; Morocco; Myanmar; Namibia; Netherlands; New Zealand; Nigeria; North Macedonia; Oman; Panama; Portugal; Reunion; Russia; Rwanda; Seychelles; Singapore; Slovakia; South Africa; Tanzania; Thailand; United State of America; Unspecified country; Zimbabwe"
"Animalia";"Mollusca";"Gastropoda";"";"Physidae";"Physa";"Physa fontinalis";"Unwanted";"14";"3";"11";"1a";"0";"Canada; Finland; Germany; Netherlands; Norway; Romania; Unknown; Unrecoverable; Unspecified country"
"Animalia";"Mollusca";"Gastropoda";"";"Physidae";"Aplexa";"Aplexa hypnorum";"Unwanted";"13";"2";"11";"1a";"1";"Canada; Denmark; Finland; Germany; Netherlands; Russia; United Kingdom; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"";"Acroloxidae";"Acroloxus";"Acroloxus lacustris";"Unwanted";"31";"3";"28";"1a";"6";"Albania; Germany; Greece; Italy; Netherlands; North Macedonia; Serbia; Slovakia; Turkiye; United Kingdom; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Milacidae";"Milax";"Milax nigricans";"Wanted";"7";"0";"7";"2b";"0";"France; Hungary; Spain"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Milacidae";"Milax";"Milax gagates";"Wanted";"14";"0";"14";"0a";"0";"Belgium; France; Ireland; Japan; Netherlands; Portugal; Spain"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Parmacellidae";"Drusia";"Drusia valenciennii";"Wanted";"1";"0";"1";"2";"0";"Belgium"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Milacidae";"Tandonia";"Tandonia sowerbyi";"Wanted";"2";"0";"2";"2c";"0";"France; Ireland"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Milacidae";"Tandonia";"Tandonia budapestensis";"Unwanted";"11";"1";"10";"0a";"0";"France; Hungary; Netherlands; Slovakia; Switzerland; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Milacidae";"Tandonia";"Tandonia rustica";"Unwanted";"29";"1";"28";"1a";"1";"France; Germany; Ireland; Italy; San Marino; Switzerland; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Trissexodontidae";"Oestophora";"Oestophora barbula";"Wanted";"5";"0";"5";"2b";"0";"Spain"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Otala";"Otala lactea";"Wanted";"8";"0";"8";"2d";"0";"Morocco; Spain; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Caucasotachea";"Caucasotachea vindobonensis";"Wanted";"260";"0";"260";"2d";"0";"Austria; Bosnia and Herzegovina; Bulgaria; Croatia; Czechia; Greece; Hungary; Montenegro; North Macedonia; Poland; Romania; Russia; Serbia; Slovakia; Ukraine; United State of America; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Eobania";"Eobania vermiculata";"Unwanted";"42";"2";"40";"2d";"0";"Croatia; Egypt; France; Greece; Iraq; Netherlands; Saudi Arabia; South Africa; Spain"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Theba";"Theba pisana";"Unwanted";"62";"8";"54";"0a";"2";"Cyprus; France; Libya; Malta; Morocco; Netherlands; South Africa; Spain; Tunisia; United Kingdom; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Cornu";"Cornu aspersum";"Unwanted";"52";"3";"49";"1a";"0";"Austria; Chile; Croatia; France; Greece; India; Netherlands; Poland; South Africa; Spain; United Kingdom; United State of America; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Cepaea";"Cepaea nemoralis";"Unwanted";"336";"2";"334";"1a";"1";"Canada; Denmark; Finland; France; Germany; Hungary; Italy; Poland; Spain; Switzerland; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Cepaea";"Cepaea hortensis";"Unwanted";"46";"4";"42";"1a";"2";"Andorra; Canada; Denmark; Finland; France; Germany; Hungary; Poland; Slovakia; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Arianta";"Arianta arbustorum";"Unwanted";"267";"1";"266";"1a";"1";"Austria; Denmark; Finland; France; Germany; Italy; Poland; Romania; Slovakia; Sweden; Switzerland; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Helix";"Helix pomatia";"Unwanted";"27";"2";"25";"1a";"1";"Austria; Bosnia and Herzegovina; Denmark; Finland; France; Germany; Italy; Poland; Slovakia"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Helix";"Helix lucorum";"Unwanted";"8";"0";"8";"2b";"1";"Armenia; France; Georgia; Germany; Serbia"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Helicigona";"Helicigona lapicida";"Unwanted";"78";"1";"77";"1a";"0";"Austria; Finland; France; Germany; Netherlands; Poland; Spain; Sweden; Switzerland; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Testacellidae";"Testacella";"Testacella haliotidea";"Unwanted";"5";"3";"2";"2c";"0";"France; Netherlands; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Arionidae";"Arion";"Arion vulgaris";"Wanted";"66";"0";"66";"2b";"0";"Andorra; Armenia; Austria; France; Germany; Hungary; Kazakhstan; Netherlands; Poland; Russia; Slovakia; Spain; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Arionidae";"Arion";"Arion subfuscus";"Wanted";"206";"0";"206";"1a";"0";"Austria; Belgium; Canada; Finland; France; Germany; United Kingdom; United State of America"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Arionidae";"Arion";"Arion silvaticus";"Wanted";"1";"0";"1";"1a";"1";"Germany"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Arionidae";"Arion";"Arion rufus";"Wanted";"1";"1";"0";"1a";"0";"Netherlands"
"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Arionidae";"Arion";"Arion intermedius";"Unwanted";"37";"1";"36";"1a";"0";"Argentina; Belgium; Canada; Czechia; France; Germany; Hungary; Italy; Poland; Portugal; Slovakia; Spain; United Kingdom; United State of America; Unknown"
